,X,Y,Z
0,43,732,854.9698
1,44,731,854.97076
2,44,730,854.9718
3,44,729,854.9728
4,45,728,854.9738
5,45,727,
6,45,726,854.9748
7,45,725,855.18884
8,45,724,
9,46,723,855.1899
10,47,722,855.19086
11,48,721,855.1919
12,49,720,
13,50,720,855.1929
14,50,721,855.994
15,49,722,
16,50,723,855.995
17,51,723,855.996
18,52,722,
19,53,722,855.997
20,54,722,855.998
21,55,722,
22,56,722,855.999
23,57,722,856.0
24,58,723,857.92096
25,59,723,858.0835
26,60,723,858.16486
27,61,723,858.1659
28,62,724,858.1669
29,62,725,858.16785
30,62,726,858.1689
31,62,727,858.16986
32,62,728,858.17084
33,62,729,
34,62,730,858.1719
35,63,731,858.17285
36,64,732,858.1739
37,64,733,858.17487
38,64,734,858.17584
39,63,735,858.1769
40,62,736,858.17786
41,61,737,858.1789
42,61,738,
43,61,739,858.1799
44,62,740,858.18085
45,62,741,858.1819
46,63,742,858.18286
47,64,742,858.18384
48,65,743,858.1849
49,66,743,858.18585
50,67,743,
51,68,743,858.1869
52,69,743,858.18787
53,70,743,858.6977
54,71,744,858.69867
55,72,744,
56,73,745,858.7007
57,74,744,858.7027
58,75,744,858.7037
59,76,743,858.70465
60,77,743,858.7057
61,78,743,858.70667
62,79,743,
63,80,743,858.7077
64,81,743,858.7087
65,82,743,859.88525
66,83,742,860.0
67,84,741,860.0227
68,84,740,860.0237
69,84,739,860.02466
70,84,738,860.0257
71,85,737,860.0267
72,86,736,860.0277
73,87,735,
74,88,734,860.0287
75,89,734,860.02966
76,90,734,860.0307
77,91,734,860.0317
78,92,733,860.03265
79,93,733,860.0337
80,94,733,860.03467
81,94,734,860.0357
82,94,735,860.0367
83,95,736,860.37225
84,95,737,860.3732
85,96,738,860.3742
86,96,739,860.37524
87,97,740,860.3762
88,98,740,
89,99,740,860.37726
90,100,739,860.37823
91,101,739,860.70087
92,102,738,862.0931
93,103,738,862.09406
94,104,737,
95,105,737,862.0951
96,106,736,862.09607
97,106,735,862.09705
98,106,734,862.0981
99,107,733,862.09906
100,107,732,862.10004
101,108,731,862.1011
102,109,730,862.10205
103,110,729,862.1031
104,111,728,862.10406
105,111,727,862.10504
106,112,726,862.1061
107,112,725,862.10706
108,113,724,862.1081
109,113,723,862.1091
110,114,722,862.11005
111,115,721,862.1111
112,116,720,862.11206
113,117,719,862.11304
114,118,719,862.1141
115,119,719,
116,120,720,862.11505
117,121,720,862.1161
118,122,719,862.1605
119,123,719,862.16156
120,124,719,862.16254
121,125,718,862.1636
122,126,718,862.16455
123,127,718,
124,128,719,862.1655
125,129,718,
126,130,717,
127,130,718,
128,130,716,
129,130,715,
130,130,714,
131,129,713,
132,128,713,
133,128,712,
134,129,711,
135,130,710,
136,131,709,863.3596
137,132,708,863.36066
138,132,707,863.4704
139,131,706,863.36163
140,130,705,865.0083
141,129,705,866.07086
142,128,705,
143,127,706,866.0719
144,126,706,866.0729
145,125,706,866.07385
146,124,706,866.0749
147,123,705,866.07587
148,122,705,
149,122,704,866.0769
150,122,703,
151,121,702,866.0779
152,120,702,866.07886
153,119,702,
154,118,701,866.0799
155,117,701,
156,116,700,866.0809
157,117,700,
158,115,699,866.0819
159,114,699,
160,113,700,866.0829
161,112,700,
162,111,700,866.08386
163,110,700,
164,109,701,866.0849
165,108,700,
166,108,699,866.0849
167,109,698,866.0859
168,110,697,
169,110,696,866.08685
170,110,695,
171,111,694,866.0879
172,111,693,
173,112,692,866.08887
174,113,691,
175,114,691,866.0899
176,115,691,
177,116,690,866.0909
178,117,690,
179,118,689,
180,119,689,866.84076
181,120,688,866.8418
182,121,687,866.8428
183,121,686,866.8438
184,121,685,866.8448
185,121,684,868.4904
186,120,683,868.5708
187,120,682,868.5718
188,121,681,868.57275
189,122,680,868.5738
190,123,679,868.57477
191,124,678,868.57574
192,124,677,868.5768
193,123,676,
194,122,677,868.5788
195,121,677,868.5798
196,120,677,872.52734
197,119,677,879.985
198,118,677,
199,117,676,879.987
200,116,676,879.988
201,115,675,879.989
202,114,675,879.99
203,113,674,879.991
204,112,673,
205,111,672,879.992
206,111,671,879.993
207,111,670,879.994
208,112,669,879.995
209,112,668,
210,112,667,879.996
211,112,666,879.997
212,112,665,879.998
213,112,664,879.999
214,112,663,
215,112,662,880.0
216,112,661,880.5249
217,113,660,880.5485
218,113,659,882.5499
219,114,658,
220,115,658,882.5509
221,116,658,882.55194
222,117,659,882.5529
223,118,659,
224,119,658,882.55396
225,120,657,882.55493
226,121,656,883.7605
227,122,655,885.5963
228,123,654,888.91583
229,123,653,889.25415
230,123,652,
231,123,651,889.2551
232,123,650,889.25616
233,122,649,889.25714
234,123,648,
235,124,647,889.2582
236,125,647,889.3882
237,126,646,890.16693
238,127,646,890.16797
239,128,646,
240,129,646,890.16895
241,130,646,890.17
242,131,645,890.17096
243,132,645,
244,133,645,890.17194
245,134,644,890.173
246,134,643,890.17395
247,135,642,890.1749
248,136,641,890.17596
249,136,640,890.17694
250,137,639,890.178
251,138,638,
252,139,637,890.17896
253,140,636,891.4554
254,141,636,893.21106
255,142,636,894.025
256,143,636,894.02606
257,144,635,
258,145,635,894.02704
259,146,634,
260,147,633,895.9172
261,148,632,895.91815
262,149,631,895.9192
263,150,630,895.92017
264,150,629,895.9212
265,151,628,895.9222
266,152,628,900.6281
267,153,628,902.0385
268,154,627,906.0882
269,155,626,907.1367
270,156,625,907.1377
271,157,624,
272,158,623,907.13873
273,158,622,907.1397
274,158,621,907.1407
275,158,620,907.1417
276,159,619,907.1427
277,160,619,
278,161,620,907.14374
279,162,620,908.0
280,163,619,
281,164,618,908.2813
282,165,617,910.46545
283,166,616,910.46643
284,166,615,910.4674
285,166,614,910.46844
286,167,613,910.4694
287,168,612,910.47046
288,169,611,910.47144
289,170,610,
290,171,610,910.4724
291,172,609,910.47345
292,173,608,910.4744
293,174,607,910.4754
294,174,606,910.47644
295,175,605,
296,176,604,910.4774
297,176,603,910.47845
298,177,602,910.47943
299,178,601,910.4804
300,179,601,
301,180,601,910.48145
302,181,600,910.4824
303,182,599,
304,182,600,910.48346
305,182,598,910.48444
306,183,597,910.4854
307,183,596,910.48645
308,183,595,
309,184,594,910.4874
310,185,593,910.4884
311,186,593,910.48944
312,187,592,
313,188,592,910.4904
314,189,592,910.49146
315,190,592,
316,191,592,910.49243
317,192,592,911.8281
318,193,591,912.4049
319,194,591,912.4069
320,195,591,912.4079
321,196,590,912.8853
322,197,590,
323,198,589,913.27325
324,199,588,913.2743
325,200,587,913.27527
326,201,587,913.999
327,202,586,
328,203,585,914.0
329,203,584,916.87024
330,204,583,917.7122
331,205,582,
332,206,581,917.7132
333,206,580,917.976
334,207,579,917.977
335,207,578,
336,207,577,917.978
337,206,576,917.979
338,205,575,917.98
339,204,575,
340,203,575,917.981
341,202,575,917.982
342,201,574,917.983
343,200,574,
344,200,573,917.984
345,200,572,917.985
346,201,571,917.986
347,202,571,
348,203,571,917.987
349,204,571,917.988
350,205,571,917.989
351,206,570,
352,207,570,917.99
353,208,570,917.991
354,209,569,917.992
355,210,569,
356,211,569,917.993
357,212,568,917.994
358,213,567,
359,213,568,917.995
360,213,566,917.997
361,212,565,917.998
362,212,564,917.999
363,212,563,919.48236
364,213,562,
365,214,561,919.4844
366,214,560,919.48535
367,215,559,919.985
368,215,558,
369,215,557,919.986
370,216,556,919.987
371,216,555,919.988
372,217,554,919.989
373,218,554,919.99
374,219,554,
375,220,555,919.991
376,221,555,
377,222,554,919.993
378,222,553,919.994
379,223,552,919.995
380,224,552,
381,225,553,
382,225,554,919.996
383,226,555,
384,227,554,919.998
385,228,553,919.999
386,229,553,920.0
387,230,552,920.13104
388,231,552,
389,232,552,920.132
390,233,551,920.13306
391,234,550,
392,235,549,920.13403
393,236,549,920.1351
394,237,548,
395,238,547,920.13605
396,239,546,921.313
397,240,546,
398,241,545,923.47705
399,242,545,923.986
400,243,545,923.992
401,244,544,923.994
402,245,543,923.995
403,246,542,
404,247,542,923.997
405,248,541,923.998
406,249,541,923.999
407,250,541,924.0
408,251,540,924.2262
409,251,539,925.0402
410,251,538,
411,250,537,925.0412
412,249,536,
413,249,535,925.50323
414,249,534,
415,249,533,925.5043
416,250,532,
417,251,533,925.50525
418,252,533,
419,252,534,
420,253,535,925.5062
421,254,536,925.50726
422,255,537,
423,256,538,925.50824
424,257,538,
425,258,538,928.67474
426,259,539,
427,260,539,928.67474
428,261,538,929.985
429,261,537,
430,262,536,929.986
431,262,535,
432,261,534,929.986
433,261,533,929.987
434,262,532,
435,263,532,929.988
436,264,532,
437,265,531,929.989
438,265,530,
439,266,529,929.989
440,266,528,929.99
441,267,527,
442,268,526,929.991
443,268,525,
444,268,524,929.991
445,267,523,929.992
446,267,522,
447,266,521,929.993
448,265,521,
449,264,522,
450,263,523,929.994
451,262,523,929.995
452,261,524,929.996
453,260,524,929.997
454,259,523,929.999
455,259,522,
456,260,521,930.0
457,259,520,930.2712
458,259,519,930.4258
459,259,518,
460,259,517,930.4268
461,259,516,933.98676
462,260,515,933.998
463,261,514,
464,262,514,933.999
465,263,513,934.0
466,264,512,934.22815
467,264,511,934.3422
468,265,510,
469,265,509,934.50726
470,265,508,936.5818
471,266,507,936.58276
472,266,506,
473,266,505,936.5838
474,266,504,936.5848
475,266,503,936.5858
476,267,502,
477,267,501,936.5868
478,268,500,937.984
479,269,501,937.985
480,270,501,
481,271,501,937.986
482,272,500,937.989
483,273,500,937.993
484,274,500,937.996
485,275,499,937.999
486,275,498,938.21356
487,276,497,940.2116
488,277,496,
489,277,495,
490,276,494,
491,276,493,
492,276,492,
493,277,491,
494,278,491,
495,279,490,
496,280,490,
497,281,489,
498,282,489,
499,283,489,
500,284,488,
501,285,488,
502,286,488,
503,287,488,
504,288,488,942.37805
505,289,488,942.379
506,290,488,942.38007
507,291,487,942.38104
