,0,1
0,11,751
1,12,750
2,12,749
3,13,748
4,14,748
5,15,747
6,16,746
7,17,745
8,18,746
9,19,746
10,20,746
11,21,745
12,22,744
13,23,743
14,24,744
15,25,745
16,26,744
17,26,745
18,26,743
19,26,742
20,26,741
21,26,740
22,26,739
23,27,738
24,28,738
25,29,738
26,30,738
27,31,737
28,31,736
29,32,735
30,33,734
31,34,734
32,35,735
33,36,734
34,37,733
35,38,732
36,39,733
37,40,733
38,41,733
39,42,732
40,43,732
41,44,731
42,44,730
43,44,729
44,45,728
45,45,727
46,45,726
47,45,725
48,45,724
49,46,723
50,47,722
51,48,721
52,49,720
53,50,720
54,50,721
55,49,722
56,50,723
57,51,723
58,52,722
59,53,722
60,54,722
61,55,722
62,56,722
63,57,722
64,58,723
65,59,723
66,60,723
67,61,723
68,62,724
69,62,725
70,62,726
71,62,727
72,62,728
73,62,729
74,62,730
75,63,731
76,64,732
77,64,733
78,64,734
79,63,735
80,62,736
81,61,737
82,61,738
83,61,739
84,62,740
85,62,741
86,63,742
87,64,742
88,65,743
89,66,743
90,67,743
91,68,743
92,69,743
93,70,743
94,71,744
95,72,744
96,73,745
97,74,744
98,75,744
99,76,743
100,77,743
101,78,743
102,79,743
103,80,743
104,81,743
105,82,743
106,83,742
107,84,741
108,84,740
109,84,739
110,84,738
111,85,737
112,86,736
113,87,735
114,88,734
115,89,734
116,90,734
117,91,734
118,92,733
119,93,733
120,94,733
121,94,734
122,94,735
123,95,736
124,95,737
125,96,738
126,96,739
127,97,740
128,98,740
129,99,740
130,100,739
131,101,739
132,102,738
133,103,738
134,104,737
135,105,737
136,106,736
137,106,735
138,106,734
139,107,733
140,107,732
141,108,731
142,109,730
143,110,729
144,111,728
145,111,727
146,112,726
147,112,725
148,113,724
149,113,723
150,114,722
151,115,721
152,116,720
153,117,719
154,118,719
155,119,719
156,120,720
157,121,720
158,122,719
159,123,719
160,124,719
161,125,718
162,126,718
163,127,718
164,128,719
165,129,718
166,130,717
167,130,718
168,130,716
169,130,715
170,130,714
171,129,713
172,128,713
173,128,712
174,129,711
175,130,710
176,131,709
177,132,708
178,132,707
179,131,706
180,130,705
181,129,705
182,128,705
183,127,706
184,126,706
185,125,706
186,124,706
187,123,705
188,122,705
189,122,704
190,122,703
191,121,702
192,120,702
193,119,702
194,118,701
