,Z,X,Y,Distancia
0,854.9698,43,732,21
1,854.97076,44,731,0
2,855.999,56,722,14
3,856.0,57,722,0
4,858.1869,68,743,24
5,858.18787,69,743,0
6,858.6977,70,743,0
7,858.69867,71,744,0
8,858.7007,73,745,1
9,858.7077,80,743,6
10,858.7087,81,743,0
11,859.88525,82,743,0
12,860.0,83,743,0
13,860.0357,94,734,13
14,862.0951,105,737,11
15,862.11505,120,720,19
16,862.1161,121,720,0
17,862.1655,128,719,6
18,863.35864,131,710,11
19,863.3596,131,709,0
20,866.0719,127,706,5
21,866.0729,126,706,0
22,866.0779,121,702,4
23,866.84076,119,689,13
24,868.5788,122,677,12
25,868.5798,121,677,0
26,872.52734,120,677,0
27,879.985,119,677,0
28,879.987,117,676,1
29,882.55396,119,658,19
30,882.55493,120,657,0
31,890.17194,133,645,14
32,894.02704,145,635,11
33,895.9172,147,633,2
34,895.91815,148,632,0
35,895.9192,149,631,0
36,895.92017,150,630,0
37,907.14374,161,620,12
38,908.2813,164,618,2
39,910.46545,165,617,0
40,910.46643,166,616,0
41,910.48145,180,601,14
42,910.4824,181,600,0
43,910.48346,182,600,0
44,910.49243,191,592,8
45,911.8281,192,592,0
46,912.4049,193,591,0
47,913.27325,198,589,4
48,917.995,213,568,26
49,919.4844,214,561,6
50,919.48535,214,560,0
51,919.986,215,557,2
52,919.991,220,555,4
53,919.993,222,554,1
54,919.996,225,554,2
55,919.998,227,554,1
56,920.13403,233,552,5
57,923.992,243,545,10
58,923.997,247,542,4
59,923.998,248,541,0
60,923.999,249,541,0
61,924.0,250,541,0
62,925.5062,253,535,6
63,929.994,263,523,12
64,937.986,271,501,23
65,942.37805,288,488,20
66,942.379,289,488,0
67,942.38007,290,488,0
68,956.7351,300,481,9
69,960.34247,302,489,7
70,968.2966,305,491,2
71,972.6939,307,492,1
72,972.6979,311,495,3
73,972.6989,312,495,0
74,972.7019,315,495,2
75,975.52216,319,499,5
76,975.5232,320,499,0
77,975.5242,321,499,0
78,975.78253,322,499,0
79,980.0875,323,500,0
80,980.0885,324,500,0
81,987.6214,331,496,6
82,987.6224,332,496,0
83,992.44476,337,494,4
84,994.03235,338,494,0
85,996.66614,344,494,5
86,1000.04193,347,495,2
87,1000.4767,349,494,1
88,1013.0025,373,474,27
89,1015.3232,374,474,0
90,1023.1688,375,474,0
91,1030.2296,376,474,0
92,1038.4137,383,470,6
93,1041.999,390,469,6
94,1042.0,391,469,0
95,1042.0515,392,469,0
96,1042.3392,397,467,4
97,1042.4735,398,467,0
98,1044.2557,399,467,0
99,1044.4744,408,463,8
100,1044.4753,409,463,0
101,1044.5238,411,462,1
102,1054.6981,416,457,6
103,1120.1586,422,465,9
104,1159.4264,427,468,4
105,1161.0604,432,468,4
106,1161.0685,433,476,7
107,1174.7251,442,473,8
108,1180.064,451,485,12
109,1194.474,463,473,15
110,1194.475,464,473,0
111,1194.476,465,474,0
112,1194.477,466,475,0
113,1205.6428,470,481,8
114,1233.9757,474,484,3
115,1308.896,484,480,10
116,1332.6166,492,503,24
117,1336.4956,496,500,3
118,1336.7023,497,500,0
119,1340.0072,498,500,0
120,1340.3143,499,500,0
121,1340.3163,501,501,1
122,1340.3173,502,501,0
123,1340.3213,506,501,3
124,1358.0073,517,494,12
125,1361.7852,518,494,0
126,1387.8562,522,496,3
127,1399.121,526,495,3
128,1482.3213,530,499,3
129,1492.3741,535,498,4
130,1492.3851,546,490,10
131,1494.2175,549,491,2
132,1502.0425,553,494,3
133,1502.0496,560,489,6
134,1506.1135,560,499,11
135,1506.1145,561,500,0
136,1506.5448,562,500,0
137,1506.7982,563,500,0
138,1507.576,564,500,0
139,1507.589,575,490,12
140,1507.5911,577,490,1
141,1520.2024,590,446,50
142,1520.2053,587,444,2
143,1520.2264,587,429,20
144,1520.2274,588,430,0
145,1520.2284,589,430,0
146,1520.2294,590,430,0
147,1525.9968,604,388,45
148,1525.9978,605,388,0
149,1531.9688,605,382,7
150,1542.0968,638,329,60
151,1546.895,650,307,27
152,1546.897,648,306,1
153,1553.0918,647,286,22
