,0,1,2
0,854.9698,43.0,732.0
1,854.97076,44.0,731.0
2,855.999,56.0,722.0
3,856.0,57.0,722.0
4,858.1869,68.0,743.0
5,858.18787,69.0,743.0
6,858.6977,70.0,743.0
7,858.69867,71.0,744.0
8,858.7007,73.0,745.0
9,858.7077,80.0,743.0
10,858.7087,81.0,743.0
11,859.88525,82.0,743.0
12,860.0,83.0,743.0
13,860.0357,94.0,734.0
14,862.0951,105.0,737.0
15,862.11505,120.0,720.0
16,862.1161,121.0,720.0
17,862.1655,128.0,719.0
18,863.35864,131.0,710.0
19,863.3596,131.0,709.0
20,866.0719,127.0,706.0
21,866.0729,126.0,706.0
22,866.0779,121.0,702.0
23,866.84076,119.0,689.0
24,868.5788,122.0,677.0
25,868.5798,121.0,677.0
26,872.52734,120.0,677.0
27,879.985,119.0,677.0
28,879.987,117.0,676.0
29,882.55396,119.0,658.0
30,882.55493,120.0,657.0
31,890.17194,133.0,645.0
32,894.02704,145.0,635.0
33,895.9172,147.0,633.0
34,895.91815,148.0,632.0
35,895.9192,149.0,631.0
36,895.92017,150.0,630.0
37,907.14374,161.0,620.0
38,908.2813,164.0,618.0
39,910.46545,165.0,617.0
40,910.46643,166.0,616.0
41,910.48145,180.0,601.0
42,910.4824,181.0,600.0
43,910.48346,182.0,600.0
44,910.49243,191.0,592.0
45,911.8281,192.0,592.0
46,912.4049,193.0,591.0
47,913.27325,198.0,589.0
48,917.995,213.0,568.0
49,919.4844,214.0,561.0
50,919.48535,214.0,560.0
51,919.986,215.0,557.0
52,919.991,220.0,555.0
53,919.993,222.0,554.0
54,919.996,225.0,554.0
55,919.998,227.0,554.0
56,920.13403,233.0,552.0
57,923.992,243.0,545.0
58,923.997,247.0,542.0
59,923.998,248.0,541.0
60,923.999,249.0,541.0
61,924.0,250.0,541.0
62,925.5062,253.0,535.0
63,929.994,263.0,523.0
64,937.986,271.0,501.0
65,938.0211,280.0,490.0
66,942.37805,288.0,488.0
67,942.379,289.0,488.0
68,942.38007,290.0,488.0
69,956.7351,300.0,481.0
70,960.34247,302.0,489.0
71,968.2966,305.0,491.0
72,972.6939,307.0,492.0
73,972.6979,311.0,495.0
74,972.6989,312.0,495.0
75,972.7019,315.0,495.0
76,975.52216,319.0,499.0
77,975.5232,320.0,499.0
78,975.5242,321.0,499.0
79,975.78253,322.0,499.0
80,980.0875,323.0,500.0
81,980.0885,324.0,500.0
82,987.6214,331.0,496.0
83,987.6224,332.0,496.0
84,992.44476,337.0,494.0
85,994.03235,338.0,494.0
86,996.66614,344.0,494.0
87,1000.04193,347.0,495.0
88,1000.4767,349.0,494.0
89,1013.0025,373.0,474.0
90,1015.3232,374.0,474.0
91,1023.1688,375.0,474.0
92,1030.2296,376.0,474.0
93,1038.4137,383.0,470.0
94,1041.999,390.0,469.0
95,1042.0,391.0,469.0
96,1042.0515,392.0,469.0
97,1042.3392,397.0,467.0
98,1042.4735,398.0,467.0
99,1044.2557,399.0,467.0
100,1044.4744,408.0,463.0
101,1044.4753,409.0,463.0
102,1044.5238,411.0,462.0
103,1052.5333,415.0,457.0
104,1054.6981,416.0,457.0
105,1120.1586,422.0,465.0
106,1159.4264,427.0,468.0
107,1161.0604,432.0,468.0
108,1161.0685,433.0,476.0
109,1174.7251,442.0,473.0
110,1180.064,451.0,485.0
111,1194.474,463.0,473.0
112,1194.475,464.0,473.0
113,1194.476,465.0,474.0
114,1194.477,466.0,475.0
115,1198.9514,467.0,482.0
116,1205.6428,470.0,481.0
117,1233.9757,474.0,484.0
118,1308.896,484.0,480.0
119,1332.6166,492.0,503.0
120,1336.4956,496.0,500.0
121,1336.7023,497.0,500.0
122,1340.0072,498.0,500.0
123,1340.3143,499.0,500.0
124,1340.3163,501.0,501.0
125,1340.3173,502.0,501.0
126,1340.3213,506.0,501.0
127,1358.0073,517.0,494.0
128,1361.7852,518.0,494.0
129,1387.8562,522.0,496.0
130,1399.121,526.0,495.0
131,1482.3213,530.0,499.0
132,1492.3741,535.0,498.0
133,1492.3851,546.0,490.0
134,1494.2175,549.0,491.0
135,1502.0425,553.0,494.0
136,1502.0496,560.0,489.0
137,1506.1135,560.0,499.0
138,1506.1145,561.0,500.0
139,1506.5448,562.0,500.0
140,1506.7982,563.0,500.0
141,1507.576,564.0,500.0
142,1507.589,575.0,490.0
143,1507.5911,577.0,490.0
144,1520.2024,590.0,446.0
145,1520.2053,587.0,444.0
146,1520.2264,587.0,429.0
147,1520.2274,588.0,430.0
148,1520.2284,589.0,430.0
149,1520.2294,590.0,430.0
150,1525.9968,604.0,388.0
151,1525.9978,605.0,388.0
152,1531.9688,605.0,382.0
153,1542.0968,638.0,329.0
154,1546.895,650.0,307.0
155,1546.897,648.0,306.0
156,1553.0918,647.0,286.0
