,Z,X,Y,D,d,D/d
0,854.9698,43.0,732.0,40.0,21.0,1.9047619047619047
1,854.97076,44.0,731.0,0.0,0.0,0.0
2,855.999,56.0,722.0,20.0,14.0,1.4285714285714286
3,856.0,57.0,722.0,0.0,0.0,0.0
4,858.1869,68.0,743.0,27.0,24.0,1.125
5,858.18787,69.0,743.0,0.0,0.0,0.0
6,858.6977,70.0,743.0,0.0,0.0,0.0
7,858.69867,71.0,744.0,0.0,0.0,0.0
8,858.7007,73.0,745.0,1.0,1.0,1.0
9,858.7077,80.0,743.0,6.0,6.0,1.0
10,858.7087,81.0,743.0,0.0,0.0,0.0
11,859.88525,82.0,743.0,0.0,0.0,0.0
12,860.0357,94.0,734.0,15.0,13.0,1.1538461538461537
13,862.0951,105.0,737.0,13.0,11.0,1.1818181818181819
14,862.11505,120.0,720.0,20.0,19.0,1.0526315789473684
15,862.1161,121.0,720.0,0.0,0.0,0.0
16,862.1655,128.0,719.0,6.0,6.0,1.0
17,863.3596,131.0,709.0,11.0,0.0,0.0
18,866.0719,127.0,706.0,6.0,5.0,1.2
19,866.0729,126.0,706.0,0.0,0.0,0.0
20,866.0779,121.0,702.0,6.0,4.0,1.5
21,866.84076,119.0,689.0,28.0,13.0,2.1538461538461537
22,868.5788,122.0,677.0,13.0,12.0,1.0833333333333333
23,868.5798,121.0,677.0,0.0,0.0,0.0
24,872.52734,120.0,677.0,0.0,0.0,0.0
25,879.985,119.0,677.0,0.0,0.0,0.0
26,879.987,117.0,676.0,1.0,1.0,1.0
27,882.55396,119.0,658.0,24.0,19.0,1.263157894736842
28,882.55493,120.0,657.0,0.0,0.0,0.0
29,890.17194,133.0,645.0,18.0,14.0,1.2857142857142858
30,894.02704,145.0,635.0,13.0,11.0,1.1818181818181819
31,895.9172,147.0,633.0,1.0,2.0,0.5
32,895.91815,148.0,632.0,0.0,0.0,0.0
33,895.9192,149.0,631.0,0.0,0.0,0.0
34,895.92017,150.0,630.0,0.0,0.0,0.0
35,907.14374,161.0,620.0,14.0,12.0,1.1666666666666667
36,908.2813,164.0,618.0,2.0,2.0,1.0
37,910.46545,165.0,617.0,0.0,0.0,0.0
38,910.46643,166.0,616.0,0.0,0.0,0.0
39,910.48145,180.0,601.0,17.0,14.0,1.2142857142857142
40,910.4824,181.0,600.0,0.0,0.0,0.0
41,910.48346,182.0,600.0,1.0,0.0,0.0
42,910.49243,191.0,592.0,11.0,8.0,1.375
43,911.8281,192.0,592.0,0.0,0.0,0.0
44,912.4049,193.0,591.0,0.0,0.0,0.0
45,913.27325,198.0,589.0,4.0,4.0,1.0
46,917.995,213.0,568.0,35.0,26.0,1.3461538461538463
47,919.4844,214.0,561.0,5.0,6.0,0.8333333333333334
48,919.48535,214.0,560.0,0.0,0.0,0.0
49,919.986,215.0,557.0,2.0,2.0,1.0
50,919.991,220.0,555.0,5.0,4.0,1.25
51,919.993,222.0,554.0,1.0,1.0,1.0
52,919.996,225.0,554.0,4.0,2.0,2.0
53,919.998,227.0,554.0,1.0,1.0,1.0
54,923.992,243.0,545.0,15.0,10.0,1.5
55,923.997,247.0,542.0,3.0,4.0,0.75
56,923.998,248.0,541.0,0.0,0.0,0.0
57,923.999,249.0,541.0,0.0,0.0,0.0
58,924.0,250.0,541.0,0.0,0.0,0.0
59,925.5062,253.0,535.0,12.0,6.0,2.0
60,929.994,263.0,523.0,29.0,12.0,2.4166666666666665
61,937.986,271.0,501.0,30.0,23.0,1.3043478260869565
62,942.37805,288.0,488.0,7.0,20.0,0.35
63,942.379,289.0,488.0,0.0,0.0,0.0
64,942.38007,290.0,488.0,0.0,0.0,0.0
65,956.7351,300.0,481.0,14.0,9.0,1.5555555555555556
66,960.34247,302.0,489.0,10.0,7.0,1.4285714285714286
67,968.2966,305.0,491.0,3.0,2.0,1.5
68,972.6939,307.0,492.0,1.0,1.0,1.0
69,972.6979,311.0,495.0,4.0,3.0,1.3333333333333333
70,972.6989,312.0,495.0,0.0,0.0,0.0
71,972.7019,315.0,495.0,3.0,2.0,1.5
72,975.52216,319.0,499.0,5.0,5.0,1.0
73,975.5232,320.0,499.0,0.0,0.0,0.0
74,975.5242,321.0,499.0,0.0,0.0,0.0
75,975.78253,322.0,499.0,0.0,0.0,0.0
76,980.0875,323.0,500.0,0.0,0.0,0.0
77,980.0885,324.0,500.0,0.0,0.0,0.0
78,987.6214,331.0,496.0,7.0,6.0,1.1666666666666667
79,992.44476,337.0,494.0,5.0,4.0,1.25
80,994.03235,338.0,494.0,0.0,0.0,0.0
81,996.66614,344.0,494.0,5.0,5.0,1.0
82,1000.04193,347.0,495.0,2.0,2.0,1.0
83,1000.4767,349.0,494.0,1.0,1.0,1.0
84,1013.0025,373.0,474.0,29.0,27.0,1.0740740740740742
85,1015.3232,374.0,474.0,0.0,0.0,0.0
86,1023.1688,375.0,474.0,0.0,0.0,0.0
87,1030.2296,376.0,474.0,0.0,0.0,0.0
88,1038.4137,383.0,470.0,6.0,6.0,1.0
89,1041.999,390.0,469.0,6.0,6.0,1.0
90,1042.0,391.0,469.0,0.0,0.0,0.0
91,1042.0515,392.0,469.0,0.0,0.0,0.0
92,1042.3392,397.0,467.0,4.0,4.0,1.0
93,1042.4735,398.0,467.0,0.0,0.0,0.0
94,1044.2557,399.0,467.0,0.0,0.0,0.0
95,1044.4744,408.0,463.0,8.0,8.0,1.0
96,1044.4753,409.0,463.0,0.0,0.0,0.0
97,1044.5238,411.0,462.0,1.0,1.0,1.0
98,1054.6981,416.0,457.0,0.0,6.0,0.0
99,1120.1586,422.0,465.0,10.0,9.0,1.1111111111111112
100,1159.4264,427.0,468.0,4.0,4.0,1.0
101,1161.0604,432.0,468.0,5.0,4.0,1.25
102,1161.0685,433.0,476.0,9.0,7.0,1.2857142857142858
103,1174.7251,442.0,473.0,9.0,8.0,1.125
104,1180.064,451.0,485.0,15.0,12.0,1.25
105,1194.474,463.0,473.0,17.0,15.0,1.1333333333333333
106,1194.475,464.0,473.0,0.0,0.0,0.0
107,1194.476,465.0,474.0,0.0,0.0,0.0
108,1194.477,466.0,475.0,0.0,0.0,0.0
109,1205.6428,470.0,481.0,2.0,8.0,0.25
110,1233.9757,474.0,484.0,6.0,3.0,2.0
111,1308.896,484.0,480.0,21.0,10.0,2.1
112,1332.6166,492.0,503.0,30.0,24.0,1.25
113,1336.4956,496.0,500.0,6.0,3.0,2.0
114,1336.7023,497.0,500.0,0.0,0.0,0.0
115,1340.0072,498.0,500.0,0.0,0.0,0.0
116,1340.3143,499.0,500.0,0.0,0.0,0.0
117,1340.3163,501.0,501.0,1.0,1.0,1.0
118,1340.3173,502.0,501.0,1.0,0.0,0.0
119,1340.3213,506.0,501.0,3.0,3.0,1.0
120,1358.0073,517.0,494.0,14.0,12.0,1.1666666666666667
121,1361.7852,518.0,494.0,0.0,0.0,0.0
122,1387.8562,522.0,496.0,3.0,3.0,1.0
123,1399.121,526.0,495.0,4.0,3.0,1.3333333333333333
124,1482.3213,530.0,499.0,7.0,3.0,2.3333333333333335
125,1492.3741,535.0,498.0,4.0,4.0,1.0
126,1492.3851,546.0,490.0,13.0,10.0,1.3
127,1494.2175,549.0,491.0,2.0,2.0,1.0
128,1502.0425,553.0,494.0,6.0,3.0,2.0
129,1502.0496,560.0,489.0,14.0,6.0,2.3333333333333335
130,1506.1135,560.0,499.0,11.0,11.0,1.0
131,1506.1145,561.0,500.0,0.0,0.0,0.0
